,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,punta arenas,75,CL,1567281091,74,-53.16,-70.91,6,14.4
1,thompson,90,CA,1567281091,82,55.74,-97.86,14,4.1
2,avarua,78,CK,1567280956,60,-21.21,-159.78,21,1.5
3,bama,70,CN,1567281092,90,24.14,107.25,20.55,2.43
4,cururupu,100,BR,1567281092,77,-1.82,-44.87,26.05,1.92
5,umm lajj,0,SA,1567281092,71,25.02,37.27,29.95,4.56
6,vestmannaeyjar,100,IS,1567281093,82,63.44,-20.27,9.15,3.55
7,atuona,81,PF,1567281093,77,-9.8,-139.03,26.05,6.23
8,sorland,100,NO,1567281093,86,67.67,12.69,11.55,4.53
9,flinders,0,AU,1567281094,100,-34.58,150.85,9.44,5.1
10,sawtell,75,AU,1567281094,87,-30.38,153.1,13,3.1
11,merauke,81,ID,1567281094,77,-8.49,140.4,24.05,9.19
12,coahuayana,100,MX,1567281094,62,18.62,-100.35,30.05,1.16
14,ilulissat,75,GL,1567281095,48,69.22,-51.1,7,2.1
15,castro,75,CL,1567281095,66,-42.48,-73.76,10,3.1
16,tuktoyaktuk,75,CA,1567281095,68,69.44,-133.03,4,1.5
19,inirida,100,CO,1567281096,82,3.87,-67.92,28.75,0.59
20,la roda,0,ES,1567281097,39,39.21,-2.16,29.44,2.6
21,aquiraz,0,BR,1567281097,58,-3.9,-38.39,30,5.7
22,ushuaia,90,AR,1567280539,69,-54.81,-68.31,3,10.8
23,nokaneng,2,BW,1567281097,13,-19.66,22.19,17.15,3.99
24,geraldton,75,CA,1567281098,45,49.72,-86.95,20,3.6
25,dikson,92,RU,1567281098,92,73.51,80.55,4.55,3.67
26,rikitea,95,PF,1567281098,83,-23.12,-134.97,22.95,9.37
27,busselton,100,AU,1567280868,57,-33.64,115.35,13.89,14.17
28,tecoanapa,75,MX,1567281099,70,16.99,-99.26,31,3.6
29,albany,75,US,1567281090,41,42.65,-73.75,25,4.6
30,cherskiy,93,RU,1567281099,85,68.75,161.3,1.15,1.69
31,bambous virieux,75,MU,1567281100,69,-20.34,57.76,23,6.2
32,kununurra,67,AU,1567281100,71,-15.77,128.74,11,1
33,bossangoa,73,CF,1567281100,93,6.5,17.45,21.35,1.08
34,touros,20,BR,1567281101,65,-5.2,-35.46,28,5.1
35,yaan,67,NG,1567281101,87,7.38,8.57,23.85,4.44
36,shingu,89,JP,1567281101,93,33.72,135.99,18.55,0.94
37,qaanaaq,100,GL,1567281102,46,77.48,-69.36,6.95,2.24
38,consett,20,GB,1567281102,76,54.85,-1.83,14,5.7
39,machaneng,0,BW,1567281102,10,-23.19,27.49,14.15,4.98
40,rio grande,75,BR,1567281103,63,-32.03,-52.1,17,3.6
41,grand gaube,75,MU,1567281103,69,-20.01,57.66,23,6.2
42,tasiilaq,5,GL,1567281104,61,65.61,-37.64,8,1.5
43,springville,1,US,1567280895,17,40.17,-111.61,33.33,6.2
44,ponta do sol,88,BR,1567281104,38,-20.63,-46,25.05,0.66
45,cabo san lucas,5,MX,1567281003,74,22.89,-109.91,35.56,5.1
46,batagay,0,RU,1567281105,55,67.65,134.64,5.45,1.03
47,komsomolskiy,94,RU,1567281105,91,67.55,63.78,5.85,5.87
48,clyde river,75,CA,1567281105,87,70.47,-68.59,8,5.1
49,penha,75,BR,1567281106,88,-26.78,-48.65,21.11,3.6
50,impfondo,100,CD,1567281106,96,1.62,18.06,22.25,1.21
51,torbay,40,CA,1567281106,64,47.66,-52.73,24.44,7.2
52,saint-philippe,75,CA,1567281107,49,45.36,-73.48,22.78,2.1
53,cape town,75,ZA,1567280972,67,-33.93,18.42,14.44,5.1
56,airai,56,TL,1567281108,77,-8.93,125.41,17.85,2.17
57,new norfolk,0,AU,1567281108,71,-42.78,147.06,10,3.6
58,ribeira grande,20,PT,1567281109,83,38.52,-28.7,25,2.1
59,mataura,1,NZ,1567281109,86,-46.19,168.86,6.05,3.34
60,hilo,20,US,1567280996,70,19.71,-155.08,29,6.3
61,songea,5,TZ,1567281109,60,-10.68,35.65,21,0.8
63,east london,0,ZA,1567281072,65,-33.02,27.91,9.95,5.06
64,taytayan,93,PH,1567281110,80,11.05,123.99,26.45,1.88
65,tabou,98,CI,1567281110,93,4.42,-7.36,23.75,2.39
66,codrington,0,AU,1567281111,100,-28.95,153.24,12,3.1
67,nhulunbuy,32,AU,1567281111,93,-12.18,136.78,17,1.5
68,semey,25,KZ,1567281111,50,50.41,80.25,12.05,3.23
69,sakhipur,40,BD,1567281112,83,24.3,90.18,29,3.6
70,beringovskiy,100,RU,1567281112,97,63.05,179.32,7.75,4.2
71,gobabis,0,NA,1567280875,18,-22.45,18.97,12,1
72,kropotkin,0,RU,1567281112,39,45.43,40.58,21.67,4.24
74,hithadhoo,42,MV,1567281113,77,-0.6,73.08,27.95,5.83
75,barrow,100,AR,1567281113,48,-38.31,-60.23,12.15,2.39
76,yellowknife,75,CA,1567281114,61,62.45,-114.38,9,1.5
78,kapaa,40,US,1567281114,62,22.08,-159.32,31,6.7
79,khatanga,57,RU,1567281114,57,71.98,102.47,5.75,3.42
80,nakamura,75,JP,1567281115,83,35.17,136.87,23,3.6
83,pevek,100,RU,1567281116,88,69.7,170.27,2.35,3.57
84,puerto ayora,75,EC,1567280966,61,-0.74,-90.35,27,8.2
85,deputatskiy,18,RU,1567281116,65,69.3,139.9,1.45,1.18
86,sao felix do xingu,58,BR,1567281116,28,-6.64,-51.99,33.55,1.84
87,bredasdorp,7,ZA,1567281117,66,-34.53,20.04,14.44,3.1
89,lethem,100,GY,1567281117,53,3.38,-59.8,32.35,2.53
90,camacha,40,PT,1567281117,64,33.08,-16.33,23,5.1
91,haines junction,100,CA,1567281118,37,60.75,-137.51,13.25,3.19
92,port alfred,0,ZA,1567281118,66,-33.59,26.89,15.56,3.58
93,avera,90,US,1567281118,55,33.19,-82.53,32.22,5.7
95,victoria,75,BN,1567281119,88,5.28,115.24,27,1.76
96,nikolskoye,0,RU,1567281119,82,59.7,30.79,15,1.71
97,butaritari,93,KI,1567281120,72,3.07,172.79,29.15,5.02
98,saskylakh,30,RU,1567281120,85,71.97,114.09,0.95,1.1
99,shenjiamen,98,CN,1567281120,87,29.96,122.3,24.55,6.75
100,selkirk,75,CA,1567281121,77,50.15,-96.88,16.67,6.7
101,okha,100,RU,1567281121,97,53.59,142.95,12.35,4.56
102,akwatia,100,GH,1567281122,94,6.04,-0.8,23.15,2.34
103,tiksi,1,RU,1567281122,83,71.64,128.87,3.65,1.88
104,aklavik,90,CA,1567281122,65,68.22,-135.01,7,1.5
105,fortuna,0,ES,1567281123,69,38.18,-1.13,27.78,0.5
107,hobart,0,AU,1567281123,71,-42.88,147.33,10,3.6
108,upernavik,1,GL,1567281124,61,72.79,-56.15,6.95,1.19
109,bathsheba,40,BB,1567280908,66,13.22,-59.52,31,4.6
110,verkhnevilyuysk,99,RU,1567281125,96,63.45,120.31,11.05,0.44
111,krasnyy chikoy,27,RU,1567281125,92,50.36,108.75,11.75,1.41
113,pontalina,0,BR,1567281126,25,-17.52,-49.45,30.15,1.78
114,iquitos,40,PE,1567281048,319,-3.75,-73.25,6,3.1
116,evensk,61,RU,1567281126,44,61.92,159.24,8.35,2.13
117,phalombe,0,MW,1567281127,33,-15.81,35.65,21.75,1.67
118,port hardy,75,CA,1567281127,100,50.7,-127.42,16,0.66
119,buchanan,75,LR,1567281127,94,5.88,-10.05,25,5.64
120,hun,97,BE,1567281128,60,50.34,4.87,22,6.2
121,esperance,0,AU,1567281128,87,-33.86,121.89,7,5.1
122,bubaque,100,GW,1567281128,80,11.28,-15.83,26.45,8.65
123,vardo,1,US,1567281129,51,39.62,-77.74,30.56,2.6
124,kodiak,1,US,1567281129,69,39.95,-94.76,23.33,4.1
125,hofn,85,IS,1567281129,80,64.25,-15.21,-1.15,1.83
126,yakuplu,0,TR,1567281129,58,39.43,38.59,19.75,1.91
127,sapa,90,PH,1567281130,94,14.32,120.76,25,2.1
128,oranjemund,0,ZA,1567281130,84,-28.55,16.43,13.05,9.09
129,petatlan,75,MX,1567281130,59,17.52,-101.27,33,4.6
130,abnub,0,EG,1567281131,42,27.27,31.15,30,5.1
131,vaini,100,IN,1567281131,98,15.34,74.49,23.95,2.15
132,ciudad bolivar,46,VE,1567281131,57,8.12,-63.55,32.45,2.12
133,lavrentiya,100,RU,1567281132,80,65.58,-170.99,10.15,2.64
134,jamestown,68,AU,1567281057,79,-33.21,138.6,9.15,3.32
135,hay river,75,CA,1567281132,50,60.82,-115.79,12,3.1
136,gejiu,96,CN,1567281132,98,23.36,103.16,15.85,1.84
137,blagoyevo,100,RU,1567281133,78,63.37,47.92,6.25,0.58
138,arraial do cabo,0,BR,1567281133,65,-22.97,-42.02,28,7.2
139,mandalgovi,0,MN,1567281133,34,45.76,106.27,15.15,2.13
140,port elizabeth,75,US,1567281134,42,39.31,-74.98,31.11,2.1
141,turayf,0,SA,1567281134,27,31.68,38.65,31,3.1
142,aguimes,20,ES,1567281134,83,27.91,-15.45,23.33,11.3
143,bluff,0,AU,1567281135,70,-23.58,149.07,14.95,2.81
144,hermanus,85,ZA,1567281135,71,-34.42,19.24,14.44,2.24
145,nanortalik,66,GL,1567281135,80,60.14,-45.24,6.65,1.28
146,pavlysh,0,UA,1567281136,46,48.92,33.36,20.05,1.14
148,provideniya,100,RU,1567281136,88,64.42,-173.23,8.05,4.44
149,mabay,40,CU,1567281136,55,20.35,-76.78,32,2.6
150,huarmey,100,PE,1567281137,91,-10.07,-78.15,15.35,7.07
151,cidreira,93,BR,1567281137,84,-30.17,-50.22,15.45,4.71
152,dingle,87,PH,1567281138,94,11,122.67,22.15,0.6
153,san patricio,49,PY,1567281138,64,-26.98,-56.83,17.65,2.92
154,huilong,15,CN,1567281138,94,31.15,106.5,18.55,0.75
156,mandurah,90,AU,1567281139,87,-32.55,115.7,12.78,4.1
157,lompoc,1,US,1567280867,64,34.64,-120.46,32.78,5.7
158,velikiy ustyug,100,RU,1567281140,85,60.76,46.3,7.25,1.48
160,leningradskiy,100,RU,1567281140,97,69.38,178.42,3.85,3.82
161,rajpipla,100,IN,1567281141,89,21.87,73.5,26.65,4.68
162,longhua,100,CN,1567281141,95,29.21,106.21,19.85,0.5
164,saint george,20,GR,1567281080,57,39.45,22.34,24,4.6
165,port augusta,69,AU,1567281145,71,-32.49,137.76,12.78,3.1
166,jerome,1,US,1567281145,17,34.75,-112.11,38.33,2.1
167,mayo,75,CA,1567281146,50,63.59,-135.9,14,1
168,ust-charyshskaya pristan,94,RU,1567281146,56,52.39,83.67,14.05,4.86
169,bafq,0,IR,1567281146,26,31.6,55.4,18.75,1.6
170,port lincoln,0,AU,1567281146,77,-34.72,135.86,14.05,9.8
171,shumyachi,84,RU,1567281147,94,53.86,32.43,13.95,3.24
172,henties bay,21,NA,1567281147,83,-22.12,14.28,13.33,1.34
173,la ronge,75,CA,1567281147,77,55.1,-105.3,16,2.1
174,grindavik,75,IS,1567281148,81,63.84,-22.43,9,4.6
175,el guayabito,52,HN,1567281148,83,14.78,-85.94,24.95,1.36
176,novo aripuana,91,BR,1567281148,40,-5.12,-60.38,32.85,0.82
177,anloga,40,GH,1567281149,88,5.79,0.9,26,8.2
178,luderitz,0,NA,1567281149,59,-26.65,15.16,16,7.7
179,harper,75,US,1567281149,36,30.3,-99.24,34,2.6
180,karratha,28,AU,1567281150,46,-20.74,116.85,20.15,5.03
181,georgiyevka,0,RU,1567281150,60,52.25,40.45,14.05,2.2
182,portland,75,US,1567281001,38,43.66,-70.25,25,6.7
183,buala,100,SB,1567281150,79,-8.15,159.59,27.85,2.24
185,olinda,100,AU,1567281151,62,-37.84,145.39,13.89,5.7
186,vostok,53,RU,1567281151,98,46.45,135.83,11.55,1.61
187,diffa,55,NE,1567281152,37,13.32,12.61,31.55,2.87
188,bintulu,75,MY,1567281152,94,3.17,113.03,26,2.1
189,baringo,100,KE,1567281153,93,0.47,35.97,14.15,2.95
190,santa cruz,36,BR,1567281153,56,-6.22,-36.02,25.55,6.34
191,biak,100,ID,1567281153,98,-0.91,122.88,17.35,1.33
192,aljezur,0,PT,1567281154,79,37.31,-8.8,18.89,8.21
193,mahebourg,75,MU,1567281154,69,-20.41,57.7,23,6.2
194,nivala,77,FI,1567281154,85,63.93,24.96,16.11,0.45
195,zverinogolovskoye,100,RU,1567281154,93,54.46,64.85,7.05,3.59
196,mount gambier,75,AU,1567281155,93,-37.83,140.78,10,4.6
197,tomatlan,0,MX,1567281155,65,19.93,-105.25,29.85,3.67
198,suntar,98,RU,1567281155,80,62.16,117.65,11.55,0.56
199,boende,71,CD,1567281156,89,-0.28,20.88,23.45,0.97
200,znamenka,0,RU,1567281156,63,52.41,41.44,12.25,2.61
201,high prairie,0,CA,1567281156,48,55.43,-116.48,18.75,0.57
202,nantucket,1,US,1567281157,39,41.28,-70.1,26,2.6
203,qaqortoq,75,GL,1567281157,43,60.72,-46.03,13,2.1
204,kloulklubed,90,PW,1567281158,88,7.04,134.26,26,2.1
205,nyurba,100,RU,1567281158,95,63.29,118.35,11.55,0.42
206,alekseyevka,0,RU,1567281158,57,53.25,50.49,10,2
207,garissa,0,KE,1567281159,76,-0.46,39.64,23.55,7.75
208,strezhevoy,0,RU,1567281159,93,60.73,77.6,11,4
209,sur,100,OM,1567281159,49,22.57,59.53,28.85,3.5
212,port macquarie,29,AU,1567281018,100,-31.43,152.91,10,1.37
214,georgetown,40,GY,1567281161,79,6.8,-58.16,29,6.2
215,nauta,71,PE,1567281161,51,-4.51,-73.58,32.45,0.8
216,atambua,98,ID,1567281162,70,-9.11,124.89,23.45,5.85
217,spencer,75,US,1567281122,36,42.24,-71.99,26.11,3.1
218,bethel,1,US,1567281162,71,60.79,-161.76,14,3.6
219,hasaki,75,JP,1567281163,100,35.73,140.83,24,1.5
220,erechim,90,BR,1567281163,88,-27.64,-52.27,18,3.1
221,roald,0,NO,1567281163,87,62.58,6.12,16.11,1.5
222,lanzhou,0,CN,1567281163,100,36.06,103.82,10,2
223,sancti spiritus,87,CU,1567281164,75,21.93,-79.44,26.55,3.12
224,leshukonskoye,99,RU,1567281164,83,64.9,45.76,7.95,0.94
225,bonthe,100,SL,1567281164,91,7.53,-12.5,24.75,2.7
226,fort nelson,90,CA,1567281165,93,58.81,-122.69,10,2.1
227,almaznyy,0,RU,1567281165,43,48.03,40.04,21,3
228,praia da vitoria,20,PT,1567281165,69,38.73,-27.07,26,3.27
229,sarkand,100,KZ,1567281166,30,45.41,79.91,16.55,1.14
230,sandy bay,0,AU,1567280924,71,-42.9,147.33,10,3.6
231,lat yao,93,TH,1567281166,91,15.75,99.79,23.35,0.63
232,turukhansk,3,RU,1567281166,90,65.8,87.96,9.85,3.39
233,ust-nera,37,RU,1567281167,68,64.57,143.24,4.45,0.09
234,corn island,6,NI,1567281167,72,12.17,-83.04,28.65,4.1
235,coquimbo,0,CL,1567281167,71,-29.95,-71.34,14,7.2
237,hualmay,91,PE,1567281168,91,-11.1,-77.61,15.15,6.85
238,longyearbyen,75,NO,1567281168,87,78.22,15.63,7,3.1
240,nacozari,86,MX,1567281169,64,25.34,-108.26,34.44,3.27
241,shimoda,3,JP,1567281169,74,34.7,138.93,26.11,0.45
242,viedma,0,AR,1567281169,47,-40.81,-62.99,10.45,7.41
243,kilis,0,TR,1567281170,36,36.72,37.12,27,4.1
244,zhuanghe,0,CN,1567281170,78,39.7,122.97,15.85,0.32
245,sept-iles,75,CA,1567281170,37,50.2,-66.38,21,7.7
246,belen,40,US,1567281170,25,34.66,-106.78,35.56,3.1
247,tessalit,19,ML,1567281171,22,20.2,1.01,36.65,1.77
248,cabedelo,20,BR,1567281171,65,-6.97,-34.84,28,6.7
249,nizwa,82,OM,1567281171,31,22.93,57.53,29.95,1.11
250,abu samrah,0,SY,1567281172,68,35.3,37.18,23.35,5.25
251,okhotsk,85,RU,1567281172,90,59.36,143.24,10.85,2.27
252,anadyr,40,RU,1567281172,87,64.73,177.51,10,2
253,isangel,100,VU,1567281173,86,-19.55,169.27,23.75,6.01
255,kiunga,100,PG,1567281173,92,-6.12,141.3,20.95,1.06
256,mata,0,PT,1567281174,81,40.68,-7.46,25,2.24
258,traiguen,42,CL,1567281174,77,-38.25,-72.68,8.55,3.21
259,seidu,56,NG,1567281175,94,8.32,4.47,22.35,1.72
260,bandarbeyla,45,SO,1567281175,75,9.49,50.81,25.05,10.43
261,yate,33,GB,1567281175,82,51.54,-2.41,17,5.7
262,mareeba,0,AU,1567281176,88,-16.99,145.42,17,3.1
263,bilibino,91,RU,1567281176,76,68.06,166.44,-0.05,1.22
264,temyasovo,75,RU,1567281177,97,52.99,58.1,4,1
265,badvel,100,IN,1567281177,91,14.74,79.07,23.35,7.3
266,chuy,0,UY,1567281177,70,-33.69,-53.46,11.25,2.61
267,tuatapere,11,NZ,1567281178,77,-46.13,167.69,10.55,9.72
268,marawi,100,PH,1567281178,96,8,124.29,22.78,2.68
269,russell,75,US,1567280995,73,38.9,-98.86,25,1.5
270,belyy yar,0,RU,1567281179,93,53.6,91.39,17,1
271,mar del plata,55,AR,1567281179,40,-46.43,-67.52,6.25,10.57
272,carnarvon,0,ZA,1567281179,48,-30.97,22.13,6.45,4.24
273,lagoa,0,PT,1567281180,57,37.14,-8.45,26,3.1
274,nata,0,BW,1567281180,10,-20.21,26.19,19.35,6.69
275,hambantota,100,LK,1567281180,80,6.12,81.12,27.35,8.02
277,half moon bay,20,US,1567281066,64,37.46,-122.43,30,2.6
278,faanui,93,PF,1567281181,78,-16.48,-151.75,24.45,6.95
279,novorossiysk,0,RU,1567281182,49,44.72,37.77,20,4
280,yining,98,CN,1567281182,75,29.04,114.56,19.85,0.48
281,arona,0,IT,1567281182,78,45.76,8.56,26.67,0.5
282,pisco,0,PE,1567281183,30,-13.71,-76.2,22,3.1
283,ancud,75,CL,1567281183,66,-41.87,-73.83,10,3.1
284,lokosovo,76,RU,1567281183,96,61.13,74.84,8.25,3.56
285,kimberley,0,ZA,1567281183,36,-28.74,24.76,9,3.6
286,husavik,43,CA,1567281184,75,50.56,-96.99,16.67,1.34
288,lata,81,IN,1567281184,93,30.78,78.62,5.95,0.68
289,san pedro,0,AR,1567281185,27,-33.68,-59.66,18.89,1.34
291,mgandu,91,TZ,1567281185,44,-5.96,34.11,19.15,1.05
292,varkaus,0,FI,1567281185,87,62.32,27.87,14,1
293,gongzhuling,0,CN,1567281186,85,43.5,124.81,14.75,4.13
294,anchorage,90,US,1567280996,82,61.22,-149.89,14.44,1.44
295,vao,70,EE,1567281186,89,59.1,26.19,13.65,1.28
296,souillac,0,FR,1567281186,68,45.6,-0.6,20,3.6
297,obo,95,CF,1567281187,95,5.39,26.49,21.25,1.33
298,entebbe,90,UG,1567281187,93,0.06,32.45,18,3.6
299,pangody,100,RU,1567281187,92,65.85,74.49,9.35,7.07
300,hami,100,CN,1567281188,11,42.84,93.51,29.15,4.69
301,orbetello,20,IT,1567281188,88,42.44,11.21,28.33,2.6
